time,cell_ID,sum_pix_intensity_cyto,sum_pix_intensity_nuclei,cell sizes,nucleus sizes,Particles in cytosol,Particles in nucleus,protein concentrations (AU),image_name
0,1.0,1115782,418168,8364,2551,9.0,1.0,120.00928952348185,rep1_FOV1.tif
0,2.0,483785,389275,7429,2391,0.0,0.0,18.759428344581185,rep1_FOV1.tif
0,3.0,998611,475839,7841,2897,18.0,5.0,105.73867313915858,rep1_FOV1.tif
0,4.0,610883,407425,7054,2496,6.0,1.0,44.6375603334796,rep1_FOV1.tif
0,5.0,691100,408913,7096,2508,10.0,3.0,61.505448997384484,rep1_FOV1.tif
0,6.0,726963,439968,7834,2697,10.0,4.0,55.86821101810395,rep1_FOV1.tif
0,7.0,973359,456852,7333,2780,14.0,5.0,113.44322424774873,rep1_FOV1.tif
0,8.0,650939,421214,6834,2573,8.0,0.0,53.913400610185406,rep1_FOV1.tif
0,9.0,592937,428380,7218,2607,8.0,4.0,35.687920190847976,rep1_FOV1.tif
1,1.0,1020925,416046,8337,2535,17.0,5.0,104.25353326439159,rep1_FOV1.tif
1,2.0,476776,386822,7401,2366,0.0,0.0,17.865739821251243,rep1_FOV1.tif
1,3.0,1084853,472032,7812,2887,20.0,8.0,124.43065989847716,rep1_FOV1.tif
1,4.0,610077,409099,7025,2464,6.0,1.0,44.06445954834466,rep1_FOV1.tif
1,5.0,709205,406064,7059,2485,8.0,1.0,66.27481416703104,rep1_FOV1.tif
1,6.0,781207,441626,7782,2694,12.0,4.0,66.74154874213836,rep1_FOV1.tif
1,7.0,940820,457996,7235,2763,14.0,2.0,107.96601073345259,rep1_FOV1.tif
1,8.0,634572,416839,6771,2533,6.0,1.0,51.376356772062294,rep1_FOV1.tif
1,9.0,669943,421107,7215,2571,18.0,8.0,53.58225667527993,rep1_FOV1.tif
2,1.0,1012189,418131,8261,2535,14.0,4.0,103.74746769123297,rep1_FOV1.tif
2,2.0,477644,391667,7381,2366,0.0,0.0,17.14396809571286,rep1_FOV1.tif
2,3.0,1172798,478416,7840,2886,22.0,7.0,140.165926524021,rep1_FOV1.tif
2,4.0,583671,410310,7006,2480,5.0,1.0,38.303358373840034,rep1_FOV1.tif
2,5.0,714996,414072,7030,2495,7.0,0.0,66.35589856670342,rep1_FOV1.tif
2,6.0,806485,441336,7788,2696,11.0,3.0,71.71032992930087,rep1_FOV1.tif
2,7.0,915744,449916,7254,2763,15.0,5.0,103.7247828991316,rep1_FOV1.tif
2,8.0,597650,419009,6780,2551,4.0,1.0,42.24190115866635,rep1_FOV1.tif
2,9.0,838516,419268,7216,2572,18.0,4.0,90.27734711455642,rep1_FOV1.tif
3,1.0,993589,415413,8259,2548,16.0,3.0,101.23901243214848,rep1_FOV1.tif
3,2.0,473129,389057,7411,2368,0.0,0.0,16.671029149315885,rep1_FOV1.tif
3,3.0,1165508,475118,7840,2890,18.0,5.0,139.47272727272727,rep1_FOV1.tif
3,4.0,591614,409799,7039,2484,5.0,2.0,39.915477497255765,rep1_FOV1.tif
3,5.0,711343,406835,7011,2505,7.0,1.0,67.57833999112295,rep1_FOV1.tif
3,6.0,808976,441423,7800,2683,9.0,2.0,71.8297830760211,rep1_FOV1.tif
3,7.0,911500,452561,7294,2765,10.0,2.0,101.33340693309782,rep1_FOV1.tif
3,8.0,564749,418150,6744,2551,4.0,2.0,34.96279513474839,rep1_FOV1.tif
3,9.0,920784,420024,7218,2571,15.0,4.0,107.75984506132988,rep1_FOV1.tif
4,1.0,940770,419077,8167,2544,12.0,4.0,92.77841010136937,rep1_FOV1.tif
4,2.0,477275,384145,7381,2367,4.0,3.0,18.573992820103708,rep1_FOV1.tif
4,3.0,1158963,474231,7805,2897,22.0,5.0,139.51344743276283,rep1_FOV1.tif
4,4.0,571286,407381,7034,2484,3.0,0.0,36.02307692307692,rep1_FOV1.tif
4,5.0,776218,408974,6977,2495,19.0,6.0,81.93752788933512,rep1_FOV1.tif
4,6.0,735214,444105,7789,2692,2.0,1.0,57.1137924269178,rep1_FOV1.tif
4,7.0,908015,451800,7237,2772,12.0,5.0,102.17581187010079,rep1_FOV1.tif
4,8.0,533414,417395,6708,2541,1.0,0.0,27.84233261339093,rep1_FOV1.tif
4,9.0,943870,420560,7218,2538,13.0,5.0,111.81837606837607,rep1_FOV1.tif
