time,cell_ID,sum_pix_intensity_cyto,sum_pix_intensity_nuclei,cell sizes,nucleus sizes,Particles in cytosol,Particles in nucleus,protein concentrations (AU),image_name
0,1.0,665244,421504,7380,2560,11.0,5.0,50.56846473029046,rep1_FOV1.tif
0,2.0,578063,458351,7929,2802,2.0,1.0,23.349327091866588,rep1_FOV1.tif
0,3.0,475548,411688,7360,2487,0.0,0.0,13.104863533757438,rep1_FOV1.tif
0,4.0,702790,433132,7215,2628,9.0,4.0,58.78744277305428,rep1_FOV1.tif
0,5.0,671145,446563,8081,2712,6.0,2.0,41.82939094803501,rep1_FOV1.tif
0,6.0,782217,453554,7526,2760,9.0,3.0,68.95992446496014,rep1_FOV1.tif
0,7.0,723741,448518,7559,2744,4.0,0.0,57.159501557632396,rep1_FOV1.tif
0,8.0,864288,456834,8235,2807,11.0,5.0,75.06521739130434,rep1_FOV1.tif
0,9.0,971606,436054,7658,2632,16.0,6.0,106.55630720254676,rep1_FOV1.tif
0,10.0,727814,441124,8049,2663,6.0,2.0,53.228741180839215,rep1_FOV1.tif
0,11.0,520462,426556,7460,2600,1.0,1.0,19.322222222222223,rep1_FOV1.tif
0,12.0,615465,414587,7953,2506,3.0,1.0,36.87864879750321,rep1_FOV1.tif
0,13.0,782976,447705,8325,2705,9.0,3.0,59.6567615658363,rep1_FOV1.tif
0,14.0,611000,412162,7507,2528,4.0,1.0,39.93532837919261,rep1_FOV1.tif
1,1.0,745401,418862,7344,2551,13.0,6.0,68.12831212184436,rep1_FOV1.tif
1,2.0,561838,456073,7901,2784,2.0,2.0,20.669337502442836,rep1_FOV1.tif
1,3.0,473438,405045,7327,2475,0.0,0.0,14.095836768342952,rep1_FOV1.tif
1,4.0,741208,432394,7177,2622,12.0,3.0,67.7967069154775,rep1_FOV1.tif
1,5.0,639008,447555,8045,2702,3.0,3.0,35.83249110986337,rep1_FOV1.tif
1,6.0,813713,451565,7512,2745,17.0,6.0,75.96979232221523,rep1_FOV1.tif
1,7.0,698192,447433,7481,2723,11.0,3.0,52.70260613703237,rep1_FOV1.tif
1,8.0,784099,462259,8197,2805,4.0,2.0,59.688427299703264,rep1_FOV1.tif
1,9.0,968417,431950,7619,2616,14.0,2.0,107.22906256246252,rep1_FOV1.tif
1,10.0,714100,433315,8024,2650,8.0,3.0,52.24879047264607,rep1_FOV1.tif
1,11.0,498576,426564,7389,2591,0.0,0.0,15.008753647353064,rep1_FOV1.tif
1,12.0,608333,408959,7919,2492,3.0,1.0,36.73742399115533,rep1_FOV1.tif
1,13.0,766393,442917,8275,2689,6.0,1.0,57.908342284282135,rep1_FOV1.tif
1,14.0,584697,411950,7442,2520,2.0,0.0,35.0969118244616,rep1_FOV1.tif
2,1.0,815582,420044,7342,2558,20.0,8.0,82.67934782608695,rep1_FOV1.tif
2,2.0,576256,456728,7858,2781,2.0,1.0,23.543037226708687,rep1_FOV1.tif
2,3.0,473835,408165,7294,2485,0.0,0.0,13.65564566437929,rep1_FOV1.tif
2,4.0,748856,433856,7173,2621,10.0,4.0,69.20035149384886,rep1_FOV1.tif
2,5.0,607374,447841,8016,2700,3.0,1.0,30.009969902182092,rep1_FOV1.tif
2,6.0,863174,452199,7515,2746,13.0,5.0,86.17634724260851,rep1_FOV1.tif
2,7.0,788547,449604,7526,2723,19.0,4.0,70.56901936289819,rep1_FOV1.tif
2,8.0,693100,462316,8076,2796,2.0,1.0,43.70909090909091,rep1_FOV1.tif
2,9.0,1030410,434832,7598,2632,14.0,1.0,119.9311316955296,rep1_FOV1.tif
