,time,cell_ID,sum_pix_intensity_cyto,sum_pix_intensity_nuclei,cell sizes,nucleus sizes,protein concentrations (AU)
0,0,1.0,1115782,418168,8364,2551,120.00928952348185
1,0,2.0,483785,389275,7429,2391,18.759428344581185
2,0,3.0,998611,475839,7841,2897,105.73867313915858
3,0,4.0,610883,407425,7054,2496,44.6375603334796
4,0,5.0,691100,408913,7096,2508,61.505448997384484
5,0,6.0,726963,439968,7834,2697,55.86821101810395
6,0,7.0,973359,456852,7333,2780,113.44322424774873
7,0,8.0,650939,421214,6834,2573,53.913400610185406
8,0,9.0,592937,428380,7218,2607,35.687920190847976
9,1,1.0,1020925,416046,8337,2535,104.25353326439159
10,1,2.0,476776,386822,7401,2366,17.865739821251243
11,1,3.0,1084853,472032,7812,2887,124.43065989847716
12,1,4.0,610077,409099,7025,2464,44.06445954834466
13,1,5.0,709205,406064,7059,2485,66.27481416703104
14,1,6.0,781207,441626,7782,2694,66.74154874213836
15,1,7.0,940820,457996,7235,2763,107.96601073345259
16,1,8.0,634572,416839,6771,2533,51.376356772062294
17,1,9.0,669943,421107,7215,2571,53.58225667527993
18,2,1.0,1012189,418131,8261,2535,103.74746769123297
19,2,2.0,477644,391667,7381,2366,17.14396809571286
20,2,3.0,1172798,478416,7840,2886,140.165926524021
21,2,4.0,583671,410310,7006,2480,38.303358373840034
22,2,5.0,714996,414072,7030,2495,66.35589856670342
23,2,6.0,806485,441336,7788,2696,71.71032992930087
24,2,7.0,915744,449916,7254,2763,103.7247828991316
25,2,8.0,597650,419009,6780,2551,42.24190115866635
26,2,9.0,838516,419268,7216,2572,90.27734711455642
27,3,1.0,993589,415413,8259,2548,101.23901243214848
28,3,2.0,473129,389057,7411,2368,16.671029149315885
29,3,3.0,1165508,475118,7840,2890,139.47272727272727
30,3,4.0,591614,409799,7039,2484,39.915477497255765
31,3,5.0,711343,406835,7011,2505,67.57833999112295
32,3,6.0,808976,441423,7800,2683,71.8297830760211
33,3,7.0,911500,452561,7294,2765,101.33340693309782
34,3,8.0,564749,418150,6744,2551,34.96279513474839
35,3,9.0,920784,420024,7218,2571,107.75984506132988
36,4,1.0,940770,419077,8167,2544,92.77841010136937
37,4,2.0,477275,384145,7381,2367,18.573992820103708
38,4,3.0,1158963,474231,7805,2897,139.51344743276283
39,4,4.0,571286,407381,7034,2484,36.02307692307692
40,4,5.0,776218,408974,6977,2495,81.93752788933512
41,4,6.0,735214,444105,7789,2692,57.1137924269178
42,4,7.0,908015,451800,7237,2772,102.17581187010079
43,4,8.0,533414,417395,6708,2541,27.84233261339093
44,4,9.0,943870,420560,7218,2538,111.81837606837607
45,5,1.0,877582,419527,8215,2547,80.81422018348624
46,5,2.0,485423,389520,7380,2374,19.157610866959647
47,5,3.0,1172416,475482,7836,2897,141.1083215225754
48,5,4.0,539682,408803,7022,2485,28.847035486003968
49,5,5.0,871298,410368,7084,2508,100.72770979020979
50,5,6.0,661418,441478,7764,2695,43.389228644703095
51,5,8.0,496476,422073,6785,2569,17.647770398481974
52,5,9.0,916274,423350,7218,2598,106.69350649350649
53,6,2.0,501503,393832,7388,2379,21.495508085446197
54,6,3.0,1091750,478919,7831,2893,124.10510328068044
55,6,4.0,515225,408319,7030,2489,23.54239154371284
56,6,5.0,843418,408839,7094,2506,94.72079337401918
57,6,6.0,589770,443458,7796,2691,28.66052889324192
58,6,8.0,467675,418308,6812,2565,11.623969861078407
59,6,9.0,832027,422468,7218,2590,88.49589455488332
60,7,2.0,492675,388195,7411,2370,20.72604641936124
61,7,3.0,967253,477793,7808,2894,99.60520960520961
62,7,4.0,502650,411000,7030,2480,20.142857142857142
63,7,5.0,797489,409838,7094,2505,84.47395946829374
64,7,6.0,547246,443888,7725,2693,20.54014308426073
65,7,8.0,455025,423666,6792,2558,7.406471421823335
66,7,9.0,788421,418632,7218,2570,79.55873493975903
67,8,2.0,497133,385185,7414,2377,22.225134008338298
68,8,3.0,874595,476341,7816,2885,80.76536199553843
69,8,4.0,474670,407916,7036,2478,14.645458534444932
70,8,5.0,746070,402807,7095,2495,74.62239130434783
71,8,6.0,539604,442268,7779,2691,19.13050314465409
72,8,8.0,445269,422105,6833,2554,5.413414349146997
